org01,1,1,信用が<span class='word'>失墜</span>する出来事だ。,しっつい
org01,2,2,度重なる遠征で<span class='word'>疲弊</span>する。,ひへい
org01,3,3,法律を<span class='word'>遵守</span>する。,じゅんしゅ
org01,4,4,<span class='word'>蛍</span>の光が小川を彩る。,ほたる
org01,5,5,故人を<span class='word'>哀惜</span>して耐えない。,あいせき
org01,6,6,戦没者を<span class='word'>追悼</span>して黙とうする。,ついとう
org01,7,7,いまいち状況が<span class='word'>把握</span>できない。,はあく
org01,8,8,<span class='word'>傑出</span>した才能の人物。,けっしゅつ
org01,9,9,<span class='word'>柳</span>の木が風に吹かれている。,やなぎ
org01,10,10,国家が<span class='word'>窮乏</span>している。,きゅうぼう
