R6-3,1,1,<span class='word'>サク</span>夜の冷えこみで池に氷がはった。,昨
R6-3,2,2,白鳥の<span class='word'>ム</span>れが湖面から飛び立つ。,群
R6-3,3,3,漢字辞<span class='word'>テン</span>で筆順をたしかめる。,典
R6-3,4,4,図書館で<span class='word'>カ</span>りた本を期日までに返す。,借
R6-3,5,5,工作に使う<span class='word'>ザイ</span>料をそろえる。,材
R6-3,6,6,算数の学習で億や<span class='word'>チョウ</span>の位を習う。,兆
R6-3,7,7,六年生はまもなく<span class='word'>ソツ</span>業する。,卒
R6-3,8,8,水は温度によって気体や固体に<span class='word'>カ</span>わる。,変
R6-3,9,9,クロールの息つぎの仕方を<span class='word'>オボ</span>える。,覚
R6-3,10,10,自動車工場で<span class='word'>ハタラ</span>く人の話を聞く。,働
R6-3,11,11,学校まで<span class='word'>ト</span>歩で十五分ほどかかる。,徒
R6-3,12,12,家に帰ったら<span class='word'>カナラ</span>ずうがいをする。,必
R6-3,13,13,電車の中に手ぶくろを<span class='word'>オ</span>きわすれた。,置
R6-3,14,14,相手チームは予想<span class='word'>イ</span>上に強かった。,以
R6-3,15,15,<span class='word'>セツ</span>分に豆まきをする風習がある。,節
R6-3,16,16,スポーツを通じて友好の<span class='word'>ワ</span>を広げる。,輪
R6-3,17,17,国会議員が大<span class='word'>ジン</span>に<ruby>質<rt>しつ</rt></ruby>問する。,臣
R6-3,18,18,ヘリコプターが屋上に着<span class='word'>リク</span>する。,陸
R6-3,19,19,かにの水あげで<span class='word'>ギョ</span>港が活気づく。,漁
R6-3,20,20,<span class='word'>アサ</span>い川も深くわたれ,浅
org01,1,21,朝から<span class='word'>ネツ</span>が出て学校を休む。,熱
org01,2,22,京都<span class='word'>フ</span>に観光する。,府
org01,3,23,名<span class='word'>アン</span>を思い付く。,案
org01,4,24,夕<span class='word'>ハン</span>を作り始める。,飯
org01,5,25,<span class='word'>キ</span>節外れの雪がふる。,季
org01,6,26,大きな<span class='word'>シ</span>練となって立ちはだかる。,試
org01,7,27,勝負に負けて自<span class='word'>シン</span>をなくす。,信
org01,8,28,<span class='word'>ナ</span>の花が大きく育つ。,菜
org01,9,29,<span class='word'>レイ</span>文を書いて説明する。,例
org01,10,30,読んだところに<span class='word'>シルシ</span>を付ける。,印
org01,11,31,大<span class='word'>リョウ</span>のほこりでせきが出る。,量
org01,12,32,<span class='word'>ハタ</span>をふって声を上げる。,旗
org01,13,33,<span class='word'>ヒョウ</span>庫県出身である。,兵
org01,14,34,心が<span class='word'>キヨ</span>らかで落ち着いた人。,清
org01,15,35,<span class='word'>クマ</span>が人里に下りてくる。,熊
org01,16,36,地下の部屋から銀<span class='word'>カ</span>が見つかる。,貨
org01,17,37,<span class='word'>オット</span>に相談してみる。,夫
org01,18,38,人<span class='word'>ルイ</span>が生まれた理由を研究する。,類
org01,19,39,方<span class='word'>ホウ</span>を書き記す。,法
org01,20,40,赤ちゃんが<span class='word'>ナ</span>き止むまで横にいる。,泣
org02,1,41,けん玉の<span class='word'>タツ</span>人に教えてもらう。,達
org02,2,42,今年の目<span class='word'>ヒョウ</span>を立てる。,標
org02,3,43,<span class='word'>ジュン</span>番にならぶ。,順
org02,4,44,ふるさとの風<span class='word'>ケイ</span>を思い出す。,景
org02,5,45,<span class='word'>トチ</span>木県の友人に会いに行く。,栃
org02,6,46,石川県と<span class='word'>ト</span>山県に旅行する。,富
org02,7,47,起きたことをそのまま先生に<span class='word'>ツタ</span>える。,伝
org02,8,48,<span class='word'>セツ</span>明書をしっかり読む。,説
org02,9,49,<span class='word'>カン</span>光地に選ばれる。,観
org02,10,50,<span class='word'>グン</span>部から市に成長する。,郡
org02,11,51,<span class='word'>アラソ</span>いのたえない二人。,争
org02,12,52,<span class='word'>キュウ</span>食の時間が待ち遠しい。,給
org02,13,53,紙に<span class='word'>ツツ</span>んで持って行く。,包
org02,14,54,家族の健<span class='word'>コウ</span>が第一である。,康
org02,15,55,ようち園<span class='word'>ジ</span>と遊ぶ。,児
org02,16,56,奈<span class='word'>ラ</span>県の鹿は有名だ。,良
org02,17,57,じゃがいもから<span class='word'>メ</span>が出てきた。,芽
org02,18,58,インクが服に<span class='word'>ツ</span>いた。,付
org02,19,59,<span class='word'>オキ</span>まで流されないよう注意する。,沖
org02,20,60,栄<span class='word'>ヨウ</span><ruby>価<rt>か</rt></ruby>の高い野菜。,養
