org01,1,1,いつも新しいことに<span class='word'>チョウセン</span>している。,挑戦
org01,2,2,<span class='word'>エキビョウ</span>に悩まされた時代である。,疫病
org01,3,3,深い傷で<span class='word'>チユ</span>するまで半年を要した。,治癒
org01,4,4,<span class='word'>カ</span>に刺されないよう虫よけする。,蚊
org01,5,5,<span class='word'>ケイタイ</span>電話が鳴りやまない。,携帯
org01,6,6,<span class='word'>カフク</span>はあざなえる縄のごとし。,禍福
org01,7,7,十年勤めてチームの<span class='word'>チュウケン</span>となる。,中堅
org01,8,8,<span class='word'>ツバサ</span>は退化してしまった。,翼
org01,9,9,住宅街を<span class='word'>ジュンカイ</span>を強化する。,巡回
org01,10,10,王様に<span class='word'>エッケン</span>する。,謁見
