逞筆◆１,1,1,緇衣／緇い,しい、しえ／くろ-い,①黒色の衣服。②墨染めの僧衣。また、僧侶。
逞筆◆１,2,2,抉剔／剔る,けってき／えぐ-る,えぐりだすこと。隠れているものをほじくりだすこと。抉出。
逞筆◆１,3,3,扣門／扣く,こうもん／たた-く,門をたたく。敲門。
逞筆◆１,4,4,倦憊／憊れる,けんぱい／つか-れる,あきて疲れること。倦疲。
逞筆◆１,5,5,慙恚／恚る,ざんい／いか-る,はじて怒ること。慙憤。
逞筆◆１,6,6,諧謔／謔れる,かいぎゃく／たわむ-れる,ちょっとした冗談。おどけ。しゃれ。ユーモア。おどけた話や言葉。詼諧。
逞筆◆１,7,7,嗤笑／嗤う,ししょう／わら-う、あざわら-う,あざけりわらうこと。あざわらい。嘲笑。
逞筆◆１,8,8,截然／截る,せつぜん／き-る,①区別がはっきりしているさま。②切り立っているさま。
逞筆◆１,9,9,夥多／夥しい,かた／おびただ-しい,非常に多いこと。おびただしいこと。
逞筆◆１,10,10,陋巷／陋い,ろうこう／せま-い,せま苦しく、きたない街。
逞筆◆１,11,11,忸怩／忸じる,じくじ／は-じる,自分の行いをはずかしく思うようす。
逞筆◆１,12,12,長嘶／嘶く,ちょうせい／いなな-く,馬などが声を引いていななく。
逞筆◆１,13,13,燻蒸／燻す,くんじょう／いぶ-す,①いぶし、蒸すこと。②害虫などを殺すため、薬剤などでいぶすこと。
逞筆◆１,14,14,芟除／芟る,さんじょ、せんじょ／か-る,雑草などを取り除くこと。
逞筆◆１,15,15,吶喊／喊ぶ,とっかん／さけ-ぶ,①大勢が大声で叫ぶこと。鬨の声をあげること。②大声を発しながら、敵陣に突撃すること。突貫。
逞筆◆１,16,16,刪修／刪る,さんしゅう／けず-る,不要な語句をけずって文章を整えること。刪正、刪定。
逞筆◆１,17,17,儁傑／儁れる,しゅんけつ／すぐ-れる,才徳が衆人よりすぐれていること。また、そのさまやその人。衆に秀でた人。英傑。俊彦。俊傑。
逞筆◆１,18,18,剪定／剪る,せんてい／き-る,果樹などの発育や結実を助けたり庭木の形を整えるために、余分な枝を切ること。翦定。
逞筆◆１,19,19,象嵌／嵌める,ぞうがん、ぞうかん／は-める、ちりば-める,①金属・陶磁器などに模様を刻み、そこに金・銀などをはめこむ技法。また、その工芸品。②活版印刷で、鉛版の修正したい部分を切り抜き、別の活字をはめこむこと。象眼。
逞筆◆１,20,20,篡逆／篡う,さんぎゃく／うば-う,主君を廃してその位を奪い取ること。謀叛を起こすこと。篡虐。
